monthly_inventory_id,product__product_id,inventory_month,monthly_quantity_eom,wdf__client_id,monthly_quantity_bom,date
M-DANFUTU8,P-CYKBPXIA,2024-08-01,326.0,merchant__clothing,326.0,2024-08-01 00:00:00.000
M-RYL54XOG,P-NCFZW74X,2022-01-01,603.0,merchant__clothing,603.0,2022-01-01 00:00:00.000
M-WF0WJ1PQ,P-L5A1FDV2,2024-11-01,187.0,merchant__electronics,187.0,2024-11-01 00:00:00.000
M-VCSOBW72,P-88I28DAN,2024-04-01,4062.0,merchant__electronics,4330.0,2024-04-01 00:00:00.000
M-C1WTFE87,P-4L2BPQDZ,2022-08-01,866.0,merchant__electronics,866.0,2022-08-01 00:00:00.000
M-FIRSNJ4C,P-JM1OCRS6,2023-06-01,6075.0,merchant__electronics,6287.0,2023-06-01 00:00:00.000
M-FRKXK18B,P-FQE6KSM0,2023-07-01,1263.0,merchant__clothing,1271.0,2023-07-01 00:00:00.000
M-27ILK38A,P-KCMHG45S,2023-06-01,6073.0,merchant__electronics,6238.0,2023-06-01 00:00:00.000
M-OIPCLQWJ,P-6RJFHPGV,2021-11-01,443.0,merchant__bigboxretailer,443.0,2021-11-01 00:00:00.000
M-KXRN9WSS,P-VP08CDK1,2023-09-01,630.0,merchant__electronics,630.0,2023-09-01 00:00:00.000
M-W42F4Y7L,P-M0PIJU56,2024-06-01,217.0,merchant__bigboxretailer,217.0,2024-06-01 00:00:00.000
M-9Q78FX56,P-09HVI1I7,2024-12-01,2450.0,merchant__electronics,2688.0,2024-12-01 00:00:00.000
M-NGCPQ4N5,P-7HFAJIE8,2022-06-01,326.0,merchant__bigboxretailer,326.0,2022-06-01 00:00:00.000
M-4NVUD9QA,P-DU8MH4NR,2021-10-01,562.0,merchant__electronics,562.0,2021-10-01 00:00:00.000
M-CB6D90IT,P-G0AEWWH1,2023-01-01,7299.0,merchant__electronics,7581.0,2023-01-01 00:00:00.000
M-BSBNQQEX,P-JZNBOAO0,2023-07-01,1704.0,merchant__clothing,1748.0,2023-07-01 00:00:00.000
M-M2YKF7QZ,P-Y1E6PTO7,2024-05-01,705.0,merchant__electronics,705.0,2024-05-01 00:00:00.000
M-VA2O3JZG,P-Y1E6PTO7,2022-02-01,39.0,merchant__clothing,39.0,2022-02-01 00:00:00.000
M-QJ4XQTWX,P-GJNTTNBZ,2022-10-01,24.0,merchant__electronics,24.0,2022-10-01 00:00:00.000
M-1VV2W7AB,P-CYKBPXIA,2024-03-01,326.0,merchant__clothing,326.0,2024-03-01 00:00:00.000
M-12UT8OHE,P-VP08CDK1,2024-06-01,2091.0,merchant__bigboxretailer,2175.0,2024-06-01 00:00:00.000
M-SV3J3S78,P-24XYAMNJ,2024-07-01,304.0,merchant__clothing,304.0,2024-07-01 00:00:00.000
M-DPEBO7GD,P-EG3YJ338,2023-12-01,42.0,merchant__electronics,42.0,2023-12-01 00:00:00.000
M-0X0SUT3F,P-3Z3UNUJF,2023-12-01,607.0,merchant__bigboxretailer,607.0,2023-12-01 00:00:00.000
M-DN2MY43P,P-ZN1HH8N5,2024-12-01,385.0,merchant__bigboxretailer,385.0,2024-12-01 00:00:00.000
M-VAPIUMY4,P-Z4S8WKWL,2024-04-01,1283.0,merchant__clothing,1316.0,2024-04-01 00:00:00.000
M-S0FY34A3,P-EOPE7IHA,2023-10-01,5436.0,merchant__electronics,5662.0,2023-10-01 00:00:00.000
M-P2IEHDLO,P-0H1EWXEB,2023-08-01,226.0,merchant__clothing,226.0,2023-08-01 00:00:00.000
M-58UAS7X3,P-Z1Q1R8RB,2022-07-01,816.0,merchant__electronics,816.0,2022-07-01 00:00:00.000
M-R82Q7UAM,P-70Q76OUV,2023-12-01,1538.0,merchant__clothing,1571.0,2023-12-01 00:00:00.000
M-ZHYAACJ2,P-24XYAMNJ,2024-09-01,465.0,merchant__electronics,465.0,2024-09-01 00:00:00.000
M-O3IJEWT4,P-ARA49TZS,2023-06-01,3512.0,merchant__bigboxretailer,3626.0,2023-06-01 00:00:00.000
M-4QCVJ9XF,P-RW6DH6EB,2024-09-01,421.0,merchant__bigboxretailer,421.0,2024-09-01 00:00:00.000
M-LB1H3LRI,P-DK4WOLO6,2023-06-01,6367.0,merchant__electronics,6550.0,2023-06-01 00:00:00.000
M-U0NTMCWR,P-VVRTR13E,2022-03-01,995.0,merchant__bigboxretailer,995.0,2022-03-01 00:00:00.000
M-8R70BMP7,P-EOPE7IHA,2023-09-01,5662.0,merchant__electronics,5893.0,2023-09-01 00:00:00.000
M-WSA6LMBV,P-M0PIJU56,2021-10-01,549.0,merchant__electronics,549.0,2021-10-01 00:00:00.000
M-D0YVAJ1V,P-7O91ZPJP,2022-12-01,1977.0,merchant__clothing,2015.0,2022-12-01 00:00:00.000
M-WTTASENJ,P-F2TJEYP5,2022-06-01,846.0,merchant__bigboxretailer,846.0,2022-06-01 00:00:00.000
M-CFN3MEQW,P-1FGKWX2V,2024-05-01,2370.0,merchant__bigboxretailer,2450.0,2024-05-01 00:00:00.000
M-CK4AOAAV,P-6BW9THKE,2022-10-01,628.0,merchant__clothing,628.0,2022-10-01 00:00:00.000
M-U51PJC4U,P-PSGTPT0C,2024-02-01,4637.0,merchant__electronics,4847.0,2024-02-01 00:00:00.000
M-PI39RU8V,P-AJ2G8KSW,2021-10-01,10577.0,merchant__electronics,10826.0,2021-10-01 00:00:00.000
M-77MTO7FU,P-MHEIN6RB,2022-05-01,2377.0,merchant__clothing,2411.0,2022-05-01 00:00:00.000
M-V26GT3VC,P-JZNBOAO0,2022-09-01,2022.0,merchant__clothing,2065.0,2022-09-01 00:00:00.000
M-V7RT8RZC,P-KH5AMEZT,2021-12-01,23.0,merchant__electronics,23.0,2021-12-01 00:00:00.000
M-382HELU7,P-6R63U2JU,2024-08-01,547.0,merchant__clothing,547.0,2024-08-01 00:00:00.000
M-LQ1JCA1T,P-NCFZW74X,2023-08-01,354.0,merchant__electronics,354.0,2023-08-01 00:00:00.000
M-O2MRW8X5,P-7O91ZPJP,2024-01-01,414.0,merchant__bigboxretailer,414.0,2024-01-01 00:00:00.000
M-P0ZSNTPX,P-CPDTNDJE,2024-06-01,325.0,merchant__electronics,325.0,2024-06-01 00:00:00.000
M-I8TQV3VO,P-PSGTPT0C,2024-03-01,33.0,merchant__clothing,33.0,2024-03-01 00:00:00.000
M-D3S3LXVN,P-QLTVCLVI,2022-03-01,347.0,merchant__bigboxretailer,347.0,2022-03-01 00:00:00.000
M-CQPZ8DDL,P-3KZWUNVC,2023-11-01,596.0,merchant__electronics,596.0,2023-11-01 00:00:00.000
M-UO6XSBUA,P-Q05V2UBU,2023-12-01,58.0,merchant__bigboxretailer,58.0,2023-12-01 00:00:00.000
M-0QQJKQA3,P-VP08CDK1,2022-09-01,630.0,merchant__electronics,630.0,2022-09-01 00:00:00.000
M-JZCHLUI1,P-JM1OCRS6,2022-05-01,4678.0,merchant__bigboxretailer,4841.0,2022-05-01 00:00:00.000
M-1S29XAPQ,P-Z4S8WKWL,2023-03-01,723.0,merchant__bigboxretailer,723.0,2023-03-01 00:00:00.000
M-9FZCR3ZW,P-Y1E6PTO7,2024-04-01,39.0,merchant__clothing,39.0,2024-04-01 00:00:00.000
M-X46RDW9Y,P-7O91ZPJP,2023-03-01,414.0,merchant__bigboxretailer,414.0,2023-03-01 00:00:00.000
M-ABRZNOX4,P-GEN70VB8,2024-02-01,1173.0,merchant__clothing,1182.0,2024-02-01 00:00:00.000
M-YU6S42T3,P-6CGMXPQW,2021-11-01,334.0,merchant__bigboxretailer,334.0,2021-11-01 00:00:00.000
M-5JG11SOT,P-RC9I1YFM,2024-12-01,759.0,merchant__electronics,759.0,2024-12-01 00:00:00.000
M-530EVEQZ,P-09HVI1I7,2022-09-01,38.0,merchant__bigboxretailer,38.0,2022-09-01 00:00:00.000
M-PZ3GDKZ0,P-3QPJTNTV,2024-09-01,482.0,merchant__bigboxretailer,482.0,2024-09-01 00:00:00.000
M-CYYDW5KU,P-F2TJEYP5,2024-04-01,846.0,merchant__bigboxretailer,846.0,2024-04-01 00:00:00.000
M-5HCCJWVJ,P-PSGTPT0C,2021-12-01,5180.0,merchant__bigboxretailer,5263.0,2021-12-01 00:00:00.000
M-2AYG1T21,P-ARA49TZS,2023-09-01,782.0,merchant__clothing,782.0,2023-09-01 00:00:00.000
M-E3C5JGEU,P-UB0JXL3L,2023-07-01,408.0,merchant__electronics,408.0,2023-07-01 00:00:00.000
M-66U6HQWA,P-RDU4ZGRH,2024-08-01,737.0,merchant__bigboxretailer,737.0,2024-08-01 00:00:00.000
M-IPK3HHA8,P-F2TJEYP5,2022-07-01,1633.0,merchant__clothing,1654.0,2022-07-01 00:00:00.000
M-M3HTNFQQ,P-CYKBPXIA,2023-08-01,326.0,merchant__clothing,326.0,2023-08-01 00:00:00.000
M-554FXMB9,P-KCMHG45S,2022-01-01,1966.0,merchant__clothing,1999.0,2022-01-01 00:00:00.000
M-NHJJBZUT,P-FLJC8ZF6,2023-12-01,2849.0,merchant__bigboxretailer,2952.0,2023-12-01 00:00:00.000
M-O3XK1B2M,P-6R63U2JU,2022-04-01,5042.0,merchant__bigboxretailer,5116.0,2022-04-01 00:00:00.000
M-196DMKFO,P-70Q76OUV,2022-02-01,726.0,merchant__electronics,726.0,2022-02-01 00:00:00.000
M-XXPS22JG,P-RC9I1YFM,2022-12-01,759.0,merchant__electronics,759.0,2022-12-01 00:00:00.000
M-IFNRYMAZ,P-3KZWUNVC,2022-07-01,4418.0,merchant__bigboxretailer,4526.0,2022-07-01 00:00:00.000
M-6GGUN2MD,P-F2TJEYP5,2022-10-01,1530.0,merchant__clothing,1557.0,2022-10-01 00:00:00.000
M-HIKURGSI,P-BQUWMGGX,2022-08-01,58.0,merchant__electronics,58.0,2022-08-01 00:00:00.000
M-ITVK4JUP,P-VP08CDK1,2022-12-01,3902.0,merchant__bigboxretailer,4009.0,2022-12-01 00:00:00.000
M-JT19HRHK,P-GJNTTNBZ,2022-06-01,24.0,merchant__electronics,24.0,2022-06-01 00:00:00.000
M-BI4HJMYR,P-7YGKX2EQ,2023-08-01,6044.0,merchant__electronics,6301.0,2023-08-01 00:00:00.000
M-31XFQBTN,P-HP2GUQIM,2021-11-01,596.0,merchant__bigboxretailer,596.0,2021-11-01 00:00:00.000
M-7C2IJJTT,P-KCMHG45S,2022-05-01,8809.0,merchant__electronics,8983.0,2022-05-01 00:00:00.000
M-1EUHZRQQ,P-09HVI1I7,2022-12-01,38.0,merchant__bigboxretailer,38.0,2022-12-01 00:00:00.000
M-ZC0P757M,P-1FGKWX2V,2022-04-01,419.0,merchant__clothing,419.0,2022-04-01 00:00:00.000
M-AXNE4706,P-IVPJAWWH,2023-03-01,801.0,merchant__electronics,801.0,2023-03-01 00:00:00.000
M-36JR8IEW,P-ANQV2M79,2023-10-01,425.0,merchant__clothing,425.0,2023-10-01 00:00:00.000
M-MHWZX5AR,P-M0PIJU56,2022-05-01,1762.0,merchant__clothing,1801.0,2022-05-01 00:00:00.000
M-7KXCJIQI,P-VP08CDK1,2022-07-01,1351.0,merchant__clothing,1372.0,2022-07-01 00:00:00.000
M-EQLSEGHP,P-JM1OCRS6,2022-01-01,5146.0,merchant__bigboxretailer,5215.0,2022-01-01 00:00:00.000
M-7NVSI5EK,P-RUWT9IQL,2023-12-01,297.0,merchant__clothing,297.0,2023-12-01 00:00:00.000
M-ORBQX4DJ,P-Z4S8WKWL,2024-10-01,723.0,merchant__bigboxretailer,723.0,2024-10-01 00:00:00.000
M-ODIN58WD,P-Q05V2UBU,2024-03-01,790.0,merchant__clothing,810.0,2024-03-01 00:00:00.000
M-SJT6W8E7,P-1KUMBXBO,2024-07-01,1921.0,merchant__bigboxretailer,2038.0,2024-07-01 00:00:00.000
M-NT8TBI9R,P-YS1Q5YHK,2024-08-01,257.0,merchant__electronics,257.0,2024-08-01 00:00:00.000
M-PNUY9OWA,P-86UWICUH,2022-08-01,812.0,merchant__bigboxretailer,812.0,2022-08-01 00:00:00.000
M-DFHBL3UL,P-1FGKWX2V,2022-06-01,419.0,merchant__clothing,419.0,2022-06-01 00:00:00.000
M-61XPMAMN,P-KCMHG45S,2023-02-01,6785.0,merchant__electronics,7032.0,2023-02-01 00:00:00.000
M-LVMDLGOO,P-1GOR71BN,2024-09-01,1220.0,merchant__clothing,1280.0,2024-09-01 00:00:00.000
M-1SZ8A2MT,P-ARA49TZS,2024-01-01,782.0,merchant__clothing,782.0,2024-01-01 00:00:00.000
M-PW1CT4SD,P-JZNBOAO0,2024-04-01,145.0,merchant__bigboxretailer,145.0,2024-04-01 00:00:00.000
M-N8UXZNC5,P-I82KT6GS,2022-07-01,494.0,merchant__electronics,494.0,2022-07-01 00:00:00.000
M-LMJ1CN24,P-1FGKWX2V,2023-02-01,838.0,merchant__electronics,838.0,2023-02-01 00:00:00.000
M-L1M9JVE7,P-YS1Q5YHK,2024-08-01,1902.0,merchant__bigboxretailer,1979.0,2024-08-01 00:00:00.000
M-OYPNS5BB,P-FQE6KSM0,2023-03-01,898.0,merchant__electronics,898.0,2023-03-01 00:00:00.000
M-8EGFKLAF,P-L5A1FDV2,2024-04-01,612.0,merchant__clothing,625.0,2024-04-01 00:00:00.000
M-V6SWNTJ1,P-I82KT6GS,2023-01-01,947.0,merchant__clothing,947.0,2023-01-01 00:00:00.000
M-MOCXYDGB,P-CB7JJDYR,2023-11-01,43.0,merchant__electronics,43.0,2023-11-01 00:00:00.000
M-GQZ2ULMD,P-70Q76OUV,2022-12-01,726.0,merchant__electronics,726.0,2022-12-01 00:00:00.000
M-ITZRDH87,P-F2TJEYP5,2022-10-01,534.0,merchant__electronics,534.0,2022-10-01 00:00:00.000
M-QJJWIEH4,P-M0PIJU56,2023-04-01,217.0,merchant__bigboxretailer,217.0,2023-04-01 00:00:00.000
