return_id,order__order_id,product__product_id,customer__customer_id,return_unit_cost,return_unit_quantity,wdf__client_id,return_unit_paid_amount,date,return_date
R-F19M4WLG,O-M63H1FCA,P-KH5AMEZT,C-GYY8H4HD,187.73,10.0,merchant__bigboxretailer,267.67,2024-10-28 13:05:58.000,2024-10-28 13:05:58.000
R-VL3GGTNT,O-LC0ALGAP,P-09HVI1I7,C-CC6US2UL,268.61,5.0,merchant__electronics,579.67,2022-04-14 05:38:23.000,2022-04-14 05:38:23.000
R-9APFI9TE,O-GU6WE4QS,P-14Z846TC,C-1CE79MN5,27.7,8.0,merchant__electronics,456.44,2022-10-20 08:53:17.000,2022-10-20 08:53:17.000
R-O9KKA4PB,O-STWY62TM,P-KCMHG45S,C-RKZ7MTIJ,141.72,6.0,merchant__electronics,292.67,2023-08-26 06:15:29.000,2023-08-26 06:15:29.000
R-APMXMSWH,O-JPS20WP7,P-YS1Q5YHK,C-MPQA5ZDF,23.06,10.0,merchant__bigboxretailer,178.88,2021-10-10 03:18:49.000,2021-10-10 03:18:49.000
R-AN1CQJ3P,O-0OYW8QYB,P-JM1OCRS6,C-UPH6WIBJ,235.36,8.0,merchant__bigboxretailer,236.86,2022-01-17 10:18:20.000,2022-01-17 10:18:20.000
R-OA2YBDSM,O-YXYXEPQN,P-09HVI1I7,C-PHDUMOLX,101.44,7.0,merchant__electronics,500.47,2022-01-25 11:51:55.000,2022-01-25 11:51:55.000
R-S2I0LLGP,O-W66RS5NQ,P-0H1EWXEB,C-PFH9C6DS,112.07,9.0,merchant__bigboxretailer,366.31,2024-09-11 01:00:01.000,2024-09-11 01:00:01.000
R-DI4BV6ZT,O-TY23XZXN,P-1FGKWX2V,C-T6YFUPFC,55.66,3.0,merchant__bigboxretailer,541.71,2023-11-06 03:50:13.000,2023-11-06 03:50:13.000
R-F1ZL81NB,O-SKGAU4JA,P-GLYGF0FD,C-7QDYQP74,13.29,10.0,merchant__electronics,144.81,2021-10-19 01:12:46.000,2021-10-19 01:12:46.000
R-54YA2QET,O-TYCYCPDY,P-YS1Q5YHK,C-TEJ3SA85,285.94,1.0,merchant__bigboxretailer,618.56,2023-08-12 08:20:35.000,2023-08-12 08:20:35.000
R-OXY6WORN,O-S8JRSC2Q,P-8BHI76F5,C-46A7ID47,890.01,1.0,merchant__electronics,475.52,2022-08-25 15:04:15.000,2022-08-25 15:04:15.000
R-V8RQOEVL,O-3Q8VIREX,P-H8SRYPZ7,C-TKNBOIUP,171.35,4.0,merchant__electronics,476.91,2024-02-29 13:21:54.000,2024-02-29 13:21:54.000
R-86LXVA14,O-ICQ0KW1N,P-88I28DAN,C-0BOHDI9B,165.91,3.0,merchant__electronics,543.33,2023-08-30 12:08:59.000,2023-08-30 12:08:59.000
R-W6IV0CNR,O-GEKDBKC8,P-RDU4ZGRH,C-6D7WGAF2,467.41,10.0,merchant__electronics,668.5,2024-04-19 17:10:29.000,2024-04-19 17:10:29.000
R-5ZY8HMY7,O-8K6QX609,P-1KUMBXBO,C-YEWAXX33,116.28,4.0,merchant__bigboxretailer,668.36,2022-01-18 01:32:18.000,2022-01-18 01:32:18.000
R-ZPPS2C9S,O-KAWQNASF,P-X5JEKM0B,C-NVLP4LVV,10.84,1.0,merchant__clothing,29.42,2023-07-15 01:41:34.000,2023-07-15 01:41:34.000
R-380EAOP5,O-OV6GQFW6,P-WEHJV5MG,C-0FADEJ8L,380.33,7.0,merchant__electronics,409.18,2022-01-11 01:51:46.000,2022-01-11 01:51:46.000
R-9TMGBSLR,O-NQB981XI,P-FVCDEIME,C-DYNPI7RQ,558.42,8.0,merchant__electronics,470.2,2024-03-15 14:31:15.000,2024-03-15 14:31:15.000
R-SEHFC8V7,O-YSWWN2TE,P-14Z846TC,C-H2GE5S9D,544.56,2.0,merchant__bigboxretailer,583.8,2022-08-17 04:33:24.000,2022-08-17 04:33:24.000
R-DY4VD4HD,O-1CA3DFLD,P-FBIWQ337,C-32EG7EPF,586.51,7.0,merchant__electronics,632.49,2022-12-05 04:47:25.000,2022-12-05 04:47:25.000
R-JWWEN1VA,O-RRGJBVB9,P-Y2RWSLCK,C-40YVDKMJ,137.74,4.0,merchant__electronics,278.08,2023-11-14 06:00:28.000,2023-11-14 06:00:28.000
R-4Q2HQOCS,O-4ORIZWNN,P-8BHI76F5,C-QSCZNBAQ,207.63,3.0,merchant__bigboxretailer,673.24,2024-07-02 05:01:24.000,2024-07-02 05:01:24.000
R-EB8A9MJT,O-PZ0EF8MQ,P-86UWICUH,C-Y7QMOPQR,325.77,10.0,merchant__electronics,335.35,2021-11-10 01:04:44.000,2021-11-10 01:04:44.000
R-FGGRJFLA,O-J8UIY0IH,P-3Z3UNUJF,C-1E2TBVCZ,405.1,10.0,merchant__clothing,656.99,2023-09-24 04:14:19.000,2023-09-24 04:14:19.000
R-UTKEDUY6,O-QR93T0TC,P-JM1OCRS6,C-AGJ6QP53,470.74,9.0,merchant__electronics,467.92,2022-06-28 11:06:43.000,2022-06-28 11:06:43.000
R-GGLS7ORJ,O-I6UW3K82,P-ARA49TZS,C-BGU49LX9,397.67,10.0,merchant__bigboxretailer,490.93,2023-11-19 11:10:32.000,2023-11-19 11:10:32.000
R-285H5RQI,O-6P25NRCM,P-9GDEYYQC,C-X295KAL2,201.46,6.0,merchant__electronics,238.42,2023-03-02 14:53:58.000,2023-03-02 14:53:58.000
R-TBM7TLTX,O-N65BCWSI,P-UB0JXL3L,C-BAQ76JP8,106.76,1.0,merchant__bigboxretailer,250.69,2023-01-10 11:51:38.000,2023-01-10 11:51:38.000
R-H655V763,O-BXEASV4Q,P-DK4WOLO6,C-VS8DUCBS,265.16,1.0,merchant__electronics,333.83,2024-10-20 14:54:42.000,2024-10-20 14:54:42.000
R-U37RX2S5,O-QRE1T6MB,P-FLJC8ZF6,C-E3CQKVKY,14.93,6.0,merchant__electronics,16.71,2022-07-04 01:07:47.000,2022-07-04 01:07:47.000
R-O0GP0AF9,O-ETETXUB0,P-Y2RWSLCK,C-DUPXVQM6,206.37,2.0,merchant__electronics,283.94,2024-08-09 06:09:18.000,2024-08-09 06:09:18.000
R-21KGMWLQ,O-4DHKDDN3,P-DK4WOLO6,C-RSR60WM0,493.79,2.0,merchant__electronics,937.39,2022-05-05 10:59:48.000,2022-05-05 10:59:48.000
R-MSAB51CC,O-THTMISNC,P-ARA49TZS,C-LJVPHL8G,153.85,10.0,merchant__electronics,314.38,2022-02-16 06:13:18.000,2022-02-16 06:13:18.000
R-1UXXIIN4,O-5C98UK0C,P-CPDTNDJE,C-3OC2L06E,55.28,7.0,merchant__bigboxretailer,102.9,2024-07-26 09:16:29.000,2024-07-26 09:16:29.000
R-0OJY05TW,O-93E3KQ9V,P-PSGTPT0C,C-PFH9C6DS,314.06,6.0,merchant__bigboxretailer,503.81,2023-07-10 07:34:52.000,2023-07-10 07:34:52.000
R-WF8MQSF8,O-14AHW1MA,P-14Z846TC,C-GYYGR3NB,17.23,4.0,merchant__bigboxretailer,585.37,2022-12-07 12:06:17.000,2022-12-07 12:06:17.000
R-QO6BRHZ3,O-EU580B8R,P-1FGKWX2V,C-9OXZBAIZ,248.53,8.0,merchant__bigboxretailer,612.78,2022-04-01 11:00:10.000,2022-04-01 11:00:10.000
R-VRVTVGW1,O-EGC9S8VH,P-GJNTTNBZ,C-SB92IH2E,534.32,2.0,merchant__bigboxretailer,343.71,2024-05-13 09:30:13.000,2024-05-13 09:30:13.000
R-TNUX7B4R,O-JF1OH4WR,P-8BHI76F5,C-2STVSGE7,132.04,9.0,merchant__electronics,305.48,2022-02-09 04:21:27.000,2022-02-09 04:21:27.000
R-VAUJ8N20,O-2JEH7JOX,P-14Z846TC,C-EAVTCEQ2,177.62,4.0,merchant__bigboxretailer,503.19,2022-12-06 02:20:05.000,2022-12-06 02:20:05.000
R-5H8MRJ0F,O-2JLCBXPB,P-WEHJV5MG,C-2DMK6ZME,523.88,6.0,merchant__electronics,671.44,2024-12-16 07:44:14.000,2024-12-16 07:44:14.000
R-X7XO4IT9,O-9HQWZXH9,P-X5JEKM0B,C-2STVSGE7,405.09,7.0,merchant__electronics,871.47,2023-01-07 17:25:35.000,2023-01-07 17:25:35.000
R-VLRJ6L0L,O-G0ZND64O,P-14Z846TC,C-2VG5A3R4,236.48,4.0,merchant__bigboxretailer,302.6,2023-12-30 15:21:02.000,2023-12-30 15:21:02.000
R-3PLCDJWI,O-10LFUVE7,P-L5A1FDV2,C-0BIFHMJQ,42.06,1.0,merchant__clothing,326.97,2022-06-15 01:49:55.000,2022-06-15 01:49:55.000
R-UJAGV0I8,O-J3FAU8WM,P-FEA649UJ,C-SFZO8N0M,171.66,4.0,merchant__electronics,587.09,2024-10-20 17:57:08.000,2024-10-20 17:57:08.000
R-7WP9OBSD,O-2ZEX3FIV,P-1KUMBXBO,C-XN7D8IU9,285.2,1.0,merchant__bigboxretailer,415.42,2023-02-13 13:06:27.000,2023-02-13 13:06:27.000
R-07ZP6ISY,O-XTBMTCVW,P-EOPE7IHA,C-40PX27ED,73.37,6.0,merchant__electronics,131.13,2023-12-30 14:01:01.000,2023-12-30 14:01:01.000
R-FY67LNL2,O-NLMU93BR,P-FEA649UJ,C-PHDUMOLX,122.77,3.0,merchant__electronics,931.93,2021-10-25 11:29:09.000,2021-10-25 11:29:09.000
R-I1OB324N,O-20TVPV6R,P-I82KT6GS,C-AFH826LH,440.87,5.0,merchant__bigboxretailer,458.74,2024-03-23 10:45:35.000,2024-03-23 10:45:35.000
R-62VPU5N9,O-PWE0OMB8,P-FVCDEIME,C-37GK2LIW,82.81,8.0,merchant__electronics,86.52,2023-04-17 08:19:50.000,2023-04-17 08:19:50.000
R-A6F5LNN5,O-WCOQS38D,P-R80WGNC9,C-MXVPUKFK,296.22,7.0,merchant__electronics,410.8,2024-09-27 17:41:12.000,2024-09-27 17:41:12.000
R-NMKKTJV0,O-1L7SJEK6,P-RW6DH6EB,C-8WTJOQ9C,30.03,6.0,merchant__clothing,415.57,2022-08-20 00:56:25.000,2022-08-20 00:56:25.000
R-HJ3A9B70,O-HURX5VTC,P-7ETK3T3N,C-NVLP4LVV,11.12,5.0,merchant__clothing,94.73,2021-10-26 00:02:07.000,2021-10-26 00:02:07.000
R-39KR0P7E,O-MK5OOYS9,P-G0AEWWH1,C-UIN7ZJAB,203.29,8.0,merchant__electronics,456.95,2024-05-17 13:47:56.000,2024-05-17 13:47:56.000
R-PJFSN4PM,O-LCDUWUUF,P-ARA49TZS,C-E3CQKVKY,34.64,5.0,merchant__electronics,38.92,2022-05-26 05:21:22.000,2022-05-26 05:21:22.000
R-1GQAY5I3,O-EDMSSS50,P-Y2RWSLCK,C-YTHTB74R,117.47,6.0,merchant__electronics,210.28,2024-02-02 03:04:10.000,2024-02-02 03:04:10.000
R-AEBT4LKY,O-JLV3XLTV,P-WEHJV5MG,C-W9KS3PKP,868.03,5.0,merchant__electronics,527.89,2023-07-09 05:23:48.000,2023-07-09 05:23:48.000
R-GPOP0NOQ,O-425AF8CZ,P-PSGTPT0C,C-N204IVTD,366.75,2.0,merchant__electronics,369.38,2022-08-10 08:49:01.000,2022-08-10 08:49:01.000
R-ESI8ZAUB,O-2AGNBCZX,P-WEHJV5MG,C-9YIM9W52,151.84,9.0,merchant__electronics,272.81,2023-03-02 13:55:52.000,2023-03-02 13:55:52.000
R-2WC4ESWQ,O-1ZHRY1BL,P-MHEIN6RB,C-GEZZUX7M,473.82,4.0,merchant__clothing,382.64,2024-04-25 01:49:30.000,2024-04-25 01:49:30.000
R-3LHQU5U0,O-P3OBZCOA,P-FVCDEIME,C-A5B6G8IU,116.57,6.0,merchant__clothing,107.11,2023-01-08 00:41:03.000,2023-01-08 00:41:03.000
R-ZL9Y9UH2,O-20BRY1OW,P-H8SRYPZ7,C-RSR60WM0,84.66,5.0,merchant__electronics,150.04,2022-07-30 10:50:25.000,2022-07-30 10:50:25.000
R-7968WL9W,O-QPV93ZR0,P-AJ2G8KSW,C-20AMA4KV,129.35,2.0,merchant__electronics,99.67,2024-07-05 15:53:36.000,2024-07-05 15:53:36.000
R-Z36QMHWL,O-MA5J48MM,P-RDU4ZGRH,C-J3XITTW3,137.79,10.0,merchant__electronics,178.81,2022-10-09 00:09:07.000,2022-10-09 00:09:07.000
R-D40J9DPW,O-IZ01WHC8,P-CLPSN2L9,C-B2AKP4CB,73.94,7.0,merchant__bigboxretailer,206.79,2022-03-09 06:50:48.000,2022-03-09 06:50:48.000
R-5TM1D2QI,O-KSF185WF,P-7YGKX2EQ,C-FE8WN82Q,208.96,1.0,merchant__electronics,694.49,2023-06-22 10:35:31.000,2023-06-22 10:35:31.000
R-VGPMB5LA,O-PU5XY7Q6,P-TMFDHTNI,C-2O8UXURV,45.52,1.0,merchant__bigboxretailer,34.49,2024-07-21 14:44:12.000,2024-07-21 14:44:12.000
R-WOGF3KV3,O-12RBSNLX,P-JM1OCRS6,C-FVITB31Y,376.61,2.0,merchant__electronics,363.43,2024-01-26 04:57:37.000,2024-01-26 04:57:37.000
R-SDN64GY3,O-GAE7AVY2,P-RW6DH6EB,C-PUENXZGP,261.34,9.0,merchant__clothing,421.31,2023-10-12 00:31:21.000,2023-10-12 00:31:21.000
R-527VXN81,O-4KEFPEV3,P-XU5MN3U7,C-0ORNY2TU,8.29,2.0,merchant__bigboxretailer,9.51,2022-01-25 16:42:51.000,2022-01-25 16:42:51.000
R-DC0Z525U,O-P6P7C4TX,P-Z1Q1R8RB,C-Z2RZNW2V,171.46,8.0,merchant__bigboxretailer,657.34,2022-11-10 17:02:38.000,2022-11-10 17:02:38.000
R-LBJK1HP5,O-VQ5ZFQTJ,P-6R63U2JU,C-ROURFF8T,49.55,6.0,merchant__bigboxretailer,431.38,2021-12-25 00:13:49.000,2021-12-25 00:13:49.000
R-2L3LOCME,O-LCDUWUUF,P-FLJC8ZF6,C-E3CQKVKY,285.29,4.0,merchant__electronics,507.17,2022-05-18 06:47:03.000,2022-05-18 06:47:03.000
R-2ENVSQIV,O-NPWARYVG,P-3KZWUNVC,C-ORN86J5P,466.97,9.0,merchant__bigboxretailer,514.64,2023-04-29 02:15:00.000,2023-04-29 02:15:00.000
R-MOLYAYBY,O-Y4H8EDN7,P-24XYAMNJ,C-88PYGHLV,375.48,3.0,merchant__bigboxretailer,229.98,2022-08-14 02:21:39.000,2022-08-14 02:21:39.000
R-5NNVQHJM,O-WCOQS38D,P-7YGKX2EQ,C-MXVPUKFK,125.23,3.0,merchant__electronics,440.62,2024-09-30 16:13:10.000,2024-09-30 16:13:10.000
R-MSQ0K7XD,O-3LDY85I4,P-8BHI76F5,C-0EZV2K4D,251.2,2.0,merchant__electronics,210.75,2024-05-27 00:32:22.000,2024-05-27 00:32:22.000
R-GB2RVTC1,O-EPKQ9OH5,P-FLJC8ZF6,C-867QRN0U,129.84,6.0,merchant__electronics,156.22,2023-01-29 09:07:28.000,2023-01-29 09:07:28.000
R-GQA1MOAI,O-0OYW8QYB,P-UB0JXL3L,C-UPH6WIBJ,278.9,3.0,merchant__bigboxretailer,339.93,2022-01-24 09:48:52.000,2022-01-24 09:48:52.000
R-59WIVF6R,O-RQMYA2P7,P-09HVI1I7,C-W9KS3PKP,16.21,4.0,merchant__electronics,389.24,2024-03-06 15:21:13.000,2024-03-06 15:21:13.000
R-P5N1S541,O-WQWM24RJ,P-CPDTNDJE,C-O5U7653M,603.25,5.0,merchant__bigboxretailer,624.44,2024-04-29 05:41:24.000,2024-04-29 05:41:24.000
R-CF0TOMK3,O-K5GY2GSO,P-GLYGF0FD,C-O49URTYU,23.42,7.0,merchant__electronics,587.64,2023-07-05 02:22:00.000,2023-07-05 02:22:00.000
R-V722OPEW,O-ORQC5FRO,P-CYKBPXIA,C-7K34ZCDT,192.3,3.0,merchant__bigboxretailer,134.55,2023-02-03 12:06:27.000,2023-02-03 12:06:27.000
R-FE1G3I3R,O-V0DVLZUL,P-FLJC8ZF6,C-X1FP47FM,257.54,4.0,merchant__electronics,920.98,2022-11-26 10:02:51.000,2022-11-26 10:02:51.000
R-AC3IS0XK,O-Q75LINFT,P-17VW055N,C-V6OLDX3B,345.39,9.0,merchant__bigboxretailer,525.49,2021-12-18 07:42:46.000,2021-12-18 07:42:46.000
R-N7JXBAMW,O-JUJWFZ1T,P-RDU4ZGRH,C-9F2B9C3C,12.93,5.0,merchant__electronics,31.1,2022-10-19 11:37:30.000,2022-10-19 11:37:30.000
R-4T06Y99M,O-PTEIYDCD,P-PSGTPT0C,C-VM94LPNW,7.68,4.0,merchant__electronics,144.47,2023-11-08 00:21:17.000,2023-11-08 00:21:17.000
R-RF97JOER,O-18VCA5LP,P-D1XDPQSF,C-W7IOX4YU,25.59,2.0,merchant__electronics,299.19,2022-05-31 00:55:14.000,2022-05-31 00:55:14.000
R-TRGJ6GZ2,O-UE1KYVDY,P-VP08CDK1,C-BGU49LX9,957.85,9.0,merchant__bigboxretailer,556.34,2023-01-16 12:38:21.000,2023-01-16 12:38:21.000
R-FRJRVBP0,O-EKEG1KRX,P-X5JEKM0B,C-46A7ID47,83.2,4.0,merchant__electronics,172.81,2022-02-01 03:56:50.000,2022-02-01 03:56:50.000
R-WACB72B0,O-38R87469,P-JM1OCRS6,C-6NTZ7KGY,112.95,9.0,merchant__electronics,258.23,2022-01-07 12:41:12.000,2022-01-07 12:41:12.000
R-21FPMWUV,O-BZ3AZGCB,P-CPDTNDJE,C-B2HF6O49,127.52,10.0,merchant__bigboxretailer,191.5,2023-02-03 01:26:52.000,2023-02-03 01:26:52.000
R-QBCYPTEL,O-JLV3XLTV,P-FEA649UJ,C-W9KS3PKP,4.73,2.0,merchant__electronics,98.5,2023-07-09 07:52:12.000,2023-07-09 07:52:12.000
R-8VQLN0KJ,O-XNVJVGET,P-MHEIN6RB,C-SWYI02H8,217.81,5.0,merchant__bigboxretailer,303.17,2024-01-07 04:23:36.000,2024-01-07 04:23:36.000
R-WEY8QEL2,O-C9MRHCGM,P-ARA49TZS,C-SFHGOXMD,292.94,7.0,merchant__electronics,540.77,2023-09-29 09:29:34.000,2023-09-29 09:29:34.000
R-TPESLEQA,O-BSSX9OME,P-ANQV2M79,C-T1E4F2F7,13.51,10.0,merchant__bigboxretailer,27.8,2023-12-13 08:44:20.000,2023-12-13 08:44:20.000
R-MGQUSY7Y,O-FTM05UAO,P-FVCDEIME,C-R03Q1A3K,54.72,6.0,merchant__electronics,72.41,2023-08-04 04:57:28.000,2023-08-04 04:57:28.000
R-023LFSH2,O-ME92OQ5N,P-14Z846TC,C-TEA4HGD3,120.1,6.0,merchant__electronics,187.02,2022-05-23 07:31:51.000,2022-05-23 07:31:51.000
R-L2XDN08C,O-YIZZ7IH1,P-FVCDEIME,C-69PYPU9D,29.33,10.0,merchant__electronics,395.7,2022-08-11 12:33:17.000,2022-08-11 12:33:17.000
R-YPVEK8ZW,O-39O5D6NN,P-L5A1FDV2,C-GCGP9OU2,148.54,8.0,merchant__clothing,716.96,2024-01-30 02:54:09.000,2024-01-30 02:54:09.000
R-I9OWI4JI,O-FKL2AO0N,P-ARA49TZS,C-XVVCMXEL,173.5,4.0,merchant__electronics,279.31,2022-12-10 03:16:03.000,2022-12-10 03:16:03.000
R-9CG4NNDY,O-75MSTVG0,P-FEA649UJ,C-P9TO0RU1,3.19,6.0,merchant__electronics,52.77,2022-02-01 13:59:59.000,2022-02-01 13:59:59.000
R-HIN179VL,O-W97FKZNN,P-3KZWUNVC,C-VTF4V6D9,713.19,9.0,merchant__bigboxretailer,696.4,2024-10-30 03:14:43.000,2024-10-30 03:14:43.000
R-YWBS0WZQ,O-EU580B8R,P-WI0WGQ0C,C-9OXZBAIZ,531.64,2.0,merchant__bigboxretailer,739.17,2022-04-01 12:35:23.000,2022-04-01 12:35:23.000
R-ZZWFZM85,O-QO34KGLR,P-09HVI1I7,C-LWJDW1W4,187.83,5.0,merchant__electronics,621.1,2024-09-18 10:35:20.000,2024-09-18 10:35:20.000
R-39J6TETU,O-92JBUJVY,P-14Z846TC,C-3DUP7LZ6,371.2,3.0,merchant__electronics,598.18,2023-11-25 15:22:35.000,2023-11-25 15:22:35.000
R-LXCPLFE4,O-7JTCUZQM,P-XU5MN3U7,C-QJLBBGHG,135.78,5.0,merchant__bigboxretailer,672.12,2023-08-30 00:13:34.000,2023-08-30 00:13:34.000
R-577Z2Y3P,O-G0ZND64O,P-CPDTNDJE,C-2VG5A3R4,132.57,2.0,merchant__bigboxretailer,261.6,2023-12-29 16:31:11.000,2023-12-29 16:31:11.000
R-1BZ7T672,O-26LS7QI9,P-VP08CDK1,C-PMTPJ8MG,28.31,6.0,merchant__bigboxretailer,55.09,2022-10-27 11:12:26.000,2022-10-27 11:12:26.000
R-B8SWPBPJ,O-X0481W6H,P-14Z846TC,C-UY50E2L3,373.0,5.0,merchant__bigboxretailer,279.77,2024-04-26 08:47:59.000,2024-04-26 08:47:59.000
R-SDHTVS83,O-LK5SI99Q,P-Z1Q1R8RB,C-3OC2L06E,301.27,7.0,merchant__bigboxretailer,555.23,2022-10-06 09:08:30.000,2022-10-06 09:08:30.000
R-MILBTAG0,O-2H9CNNXF,P-VIJEYOYB,C-YEWAXX33,498.83,2.0,merchant__bigboxretailer,428.29,2024-12-09 08:19:44.000,2024-12-09 08:19:44.000
R-8E8DWR28,O-EB6S2V3I,P-7YGKX2EQ,C-2MK49G6N,747.52,7.0,merchant__clothing,442.76,2024-06-10 00:29:26.000,2024-06-10 00:29:26.000
R-8ER9LFRC,O-YXAGGE99,P-XU5MN3U7,C-TEJ3SA85,168.73,7.0,merchant__bigboxretailer,286.18,2024-03-23 14:11:57.000,2024-03-23 14:11:57.000
R-XBYHJYKA,O-OWWPNX0G,P-R80WGNC9,C-WL6Y9GIN,277.6,7.0,merchant__electronics,152.75,2023-11-29 04:55:53.000,2023-11-29 04:55:53.000
R-VC37VDZH,O-G6YV0LH9,P-9GDEYYQC,C-867QRN0U,55.2,10.0,merchant__electronics,669.25,2023-04-29 05:03:15.000,2023-04-29 05:03:15.000
R-YP4O325N,O-TK9V0RW0,P-1FGKWX2V,C-QE5RNMX5,61.9,4.0,merchant__bigboxretailer,259.3,2022-11-23 14:48:14.000,2022-11-23 14:48:14.000
R-J1YAFXV2,O-97BP0E1X,P-H8SRYPZ7,C-5IUGI10C,6.57,4.0,merchant__electronics,58.89,2024-04-14 13:41:38.000,2024-04-14 13:41:38.000
R-MXQBXCTS,O-ZKWGY958,P-H8SRYPZ7,C-3ZZ3CJIU,307.68,5.0,merchant__bigboxretailer,387.84,2024-05-18 01:17:41.000,2024-05-18 01:17:41.000
R-AYE96J3O,O-YZOO5QVV,P-8BHI76F5,C-0P7K2H73,132.21,4.0,merchant__electronics,240.1,2022-09-21 15:23:13.000,2022-09-21 15:23:13.000
R-ZUZ1LOR0,O-P7GESPT5,P-24XYAMNJ,C-4KQKPFX9,951.13,1.0,merchant__bigboxretailer,548.13,2021-11-16 03:55:18.000,2021-11-16 03:55:18.000
R-CW7UBRCM,O-WJ5GWTQ0,P-TMFDHTNI,C-JEKKTGSU,217.34,8.0,merchant__bigboxretailer,535.99,2022-09-28 02:55:02.000,2022-09-28 02:55:02.000
R-RH6707KR,O-NLALB6GR,P-8BHI76F5,C-09SPV767,124.83,10.0,merchant__electronics,158.48,2021-11-23 07:14:58.000,2021-11-23 07:14:58.000
R-RPQO7JRE,O-2IK2QNMB,P-Y2RWSLCK,C-0Z6ZASPB,275.16,10.0,merchant__electronics,243.25,2024-02-13 16:38:33.000,2024-02-13 16:38:33.000
R-8WI5T7QO,O-39K8VC27,P-9GDEYYQC,C-RXYKUK76,83.26,5.0,merchant__electronics,241.78,2023-01-24 11:31:20.000,2023-01-24 11:31:20.000
R-L88HS14G,O-QRE1T6MB,P-88I28DAN,C-E3CQKVKY,2.24,1.0,merchant__electronics,34.81,2022-07-09 00:11:32.000,2022-07-09 00:11:32.000
R-72BSM3MF,O-8QRV2BCH,P-3KZWUNVC,C-L6NF8U13,399.58,10.0,merchant__bigboxretailer,427.78,2022-12-14 11:06:08.000,2022-12-14 11:06:08.000
